0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.359295	5.379594	41.361551	5.377340	0.003477	19	0.027056	corner
2	0	13.352882	5.773031	13.358800	5.769649	0.003660	20	0.027056	corner
3	0	13.733072	30.498648	13.737581	30.498648	0.007503	41	0.027056	corner
4	0	41.674948	30.108595	41.672692	30.106339	0.003477	19	0.027056	corner
5	0	0	0	27.532656	17.937994	0	0	0	center
6	6.343652	30.113103	23.240930	30.127336	23.234784	350.795880	1916875	0	star
7	6.343652	35.186065	25.973566	35.200282	25.986488	313.066668	1710709	0	star
8	6.343652	39.690855	27.880999	39.709798	27.858345	291.724004	1594085.000000	0	star
9	6.343652	21.455247	19.940123	21.460379	19.924049	383.150813	2093674	0	star
10	6.343652	24.458441	11.918079	24.459186	11.917813	399.165314	2181183	0	star
