0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.359295	5.379594	41.361551	5.377340	0.003477	19	0.027056	corner
2	0	13.352882	5.773031	13.358800	5.769649	0.003660	20	0.027056	corner
3	0	13.733072	30.498648	13.737581	30.498648	0.007503	41	0.027056	corner
4	0	41.674948	30.108595	41.672692	30.106339	0.003477	19	0.027056	corner
5	0	0	0	27.532656	17.937994	0	0	0	center
6	6.343652	26.852879	20.914132	26.858146	20.908056	396.416593	2166163	0	star
7	6.343652	35.429567	23.984965	35.448114	23.964369	326.796181	1785732	0	star
8	6.343652	29.517875	12.783864	29.504464	12.794077	412.516191	2254137	0	star
9	6.343652	40.718975	26.365875	40.648941	26.364804	272.154650	1487151	0	star
10	6.343652	14.326045	28.083918	14.426107	28.097741	252.054400	1377316	0	star
