0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.359295	5.379594	41.361551	5.377340	0.003477	19	0.027056	corner
2	0	13.352882	5.773031	13.358800	5.769649	0.003660	20	0.027056	corner
3	0	13.733072	30.498648	13.737581	30.498648	0.007503	41	0.027056	corner
4	0	41.674948	30.108595	41.672692	30.106339	0.003477	19	0.027056	corner
5	0	0	0	27.532656	17.937994	0	0	0	center
6	6.343652	25.675952	20.670629	25.676975	20.653241	395.608630	2161748	0	star
7	6.343652	28.354476	12.689169	28.352318	12.693147	417.289302	2280219	0	star
8	6.343652	27.867472	23.484432	27.868942	23.448180	334.449227	1827551	0	star
9	6.343652	22.307505	25.121308	22.307771	25.099345	302.462682	1652765	0	star
10	6.343652	34.442030	23.822630	34.443504	23.792492	336.001833	1836035	0	star
11	6.343652	39.812606	26.758184	39.819707	26.744013	302.617686	1653612	0	star
